🇨🇳【央视频道】,#genre#
CCTV-1综合,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000021973/1.m3u8?Contentid=1000000001000021973&livemode=1&stbId=3&channel-id=ystenlive
CCTV-1综合,http://111.20.33.93/PLTV/88888893/224/3221226010/index.m3u8
CCTV-1综合,http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8
CCTV-1综合,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8
CCTV-1综合,http://39.134.65.141/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1综合,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1综合,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv1hd/2300000/mnf.m3u8
CCTV-1综合,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV-2财经,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000012442/1.m3u8?Contentid=1000000001000012442&livemode=1&stbId=3&channel-id=ystenlive  
CCTV-2财经,http://111.20.33.93/PLTV/88888893/224/3221226224/index.m3u8
CCTV-2财经,http://111.20.33.93/TVOD/88888893/224/3221226195/index.m3u8
CCTV-2财经,http://111.63.117.13:6060/030000001000/G_CCTV-2/G_CCTV-2.m3u8
CCTV-2财经,http://39.134.19.248:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-2财经,http://39.134.19.248:6610/yinhe/2/ch00000090990000001332/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-3综艺,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000011218/1.m3u8?Contentid=1000000001000011218&livemode=1&stbId=3&channel-id=ystenlive  
CCTV-3综艺,http://111.20.33.93/PLTV/88888893/224/3221226397/index.m3u8
CCTV-3综艺,http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8
CCTV-3综艺,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3综艺,http://111.40.196.29/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3综艺,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-3综艺,http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3综艺,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3综艺,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3综艺,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv3hd/2300000/mnf.m3u8
CCTV-3综艺,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV-4中文国际,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000002000031664/1.m3u8?Contentid=1000000002000031664&livemode=1&stbId=3&channel-id=ystenlive  
CCTV-4中文国际,http://111.20.33.93/PLTV/88888893/224/3221226191/index.m3u8
CCTV-4中文国际,http://111.20.33.93/TVOD/88888893/224/3221226191/index.m3u8
CCTV-4中文国际,http://111.20.33.93/TVOD/88888893/224/3221226223/index.m3u8
CCTV-4中文国际,http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8
CCTV-4中文国际,http://183.207.249.11/PLTV/3/224/3221225534/index.m3u8
CCTV-4中文国际,http://183.207.249.6/PLTV/3/224/3221225534/index.m3u8
CCTV-4中文国际,http://39.134.65.175/PLTV/88888888/224/3221225797/index.m3u8
CCTV-5体育,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000004794/1.m3u8?Contentid=1000000001000004794&livemode=1&stbId=3&channel-id=ystenlive  
CCTV-5体育,http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5体育,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV-5体育,http://39.134.19.248:6610/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-5体育,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5体育,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5体育,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8
CCTV-5体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV-5+体育赛事,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000020505/1.m3u8?Contentid=1000000001000020505&livemode=1&stbId=3&channel-id=ystenlive  
CCTV-5+体育赛事,http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
CCTV-5+体育赛事,http://111.20.33.93/TVOD/88888893/224/3221226221/index.m3u8
CCTV-5+体育赛事,http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV-5+体育赛事,http://183.207.249.14/PLTV/3/224/3221225604/index.m3u8
CCTV-5+体育赛事,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6电影,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000016466/1.m3u8?Contentid=1000000001000016466&livemode=1&stbId=3&channel-id=ystenlive  
CCTV-6电影,http://111.20.33.93/PLTV/88888893/224/3221226011/index.m3u8
CCTV-6电影,http://111.20.33.93/TVOD/88888893/224/3221226393/index.m3u8
CCTV-6电影,http://111.40.196.31/PLTV/88888888/224/3221225561/index.m3u8
CCTV-6电影,http://111.63.117.13:6060/030000001000/CCTV-6/CCTV-6.m3u8
CCTV-6电影,http://183.207.249.15/PLTV/3/224/3221225548/index.m3u8
CCTV-6电影,http://183.207.249.9/PLTV/3/224/3221225548/index.m3u8
CCTV-6电影,http://39.134.19.248:6610/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6电影,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8
CCTV-6电影,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV-7国防军事,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000017218/1.m3u8?Contentid=1000000001000017218&livemode=1&stbId=3&channel-id=ystenlive  
CCTV-7国防军事,http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8
CCTV-7国防军事,http://183.207.249.15/PLTV/3/224/3221225546/index.m3u8
CCTV-7国防军事,http://183.207.249.36/PLTV/4/224/3221227314/index.m3u8
CCTV-7国防军事,http://183.207.249.9/PLTV/3/224/3221225546/index.m3u8
CCTV-7国防军事,http://39.134.65.164/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7国防军事,http://39.134.65.179/PLTV/88888888/224/3221225671/1.m3u8
